Image,Confidence Animal,Confidence Behavior,Confidence Place,Confidence Time
cow_crea_loriaz1900_2018-08-06_17-09-38_r1_crop1.jpg,"[np.float32(0.23693693), np.float32(0.22659236), np.float32(0.22292423)]","[np.float32(0.21596727), np.float32(0.22918022), np.float32(0.21782397)]","[np.float32(0.22634414), np.float32(0.2184757), np.float32(0.21523544)]","[np.float32(0.20715377), np.float32(0.22234283)]"
cow_crea_loriaz1900_2018-08-10_18-45-12_r3_crop0.jpg,"[np.float32(0.20661603), np.float32(0.21020156), np.float32(0.20267001)]","[np.float32(0.2096979), np.float32(0.202455), np.float32(0.20622864)]","[np.float32(0.20549807), np.float32(0.21126923), np.float32(0.1959772)]","[np.float32(0.20147654), np.float32(0.20240407)]"
cow_crea_loriaz1900_2018-08-10_18-45-36_r4_crop0.jpg,"[np.float32(0.19315913), np.float32(0.20717344), np.float32(0.19620553)]","[np.float32(0.21014526), np.float32(0.1841906), np.float32(0.19791502)]","[np.float32(0.1811964), np.float32(0.19731697), np.float32(0.19071995)]","[np.float32(0.20272501), np.float32(0.178554)]"
cow_crea_loriaz1900_2018-08-10_18-52-51_r2_crop1.jpg,"[np.float32(0.24013633), np.float32(0.24656503), np.float32(0.23360841)]","[np.float32(0.2412177), np.float32(0.22762889), np.float32(0.23224711)]","[np.float32(0.22625297), np.float32(0.23598182), np.float32(0.21783364)]","[np.float32(0.22566038), np.float32(0.2165317)]"
cow_crea_loriaz1900_2018-08-10_18-57-20_r2_crop0.jpg,"[np.float32(0.23701125), np.float32(0.24219808), np.float32(0.23131281)]","[np.float32(0.24137916), np.float32(0.23907423), np.float32(0.24263395)]","[np.float32(0.2210007), np.float32(0.22954698), np.float32(0.21429372)]","[np.float32(0.22199431), np.float32(0.23002352)]"
cow_crea_loriaz1900_2018-08-10_18-58-45_r5_crop0.jpg,"[np.float32(0.21403259), np.float32(0.22525127), np.float32(0.21251309)]","[np.float32(0.22711451), np.float32(0.22658971), np.float32(0.23629552)]","[np.float32(0.2036971), np.float32(0.21799672), np.float32(0.19928843)]","[np.float32(0.21344897), np.float32(0.21373335)]"
cow_crea_loriaz1900_2018-08-10_19-00-12_r1_crop0.jpg,"[np.float32(0.23040472), np.float32(0.24017604), np.float32(0.22372477)]","[np.float32(0.23904105), np.float32(0.22015989), np.float32(0.23432204)]","[np.float32(0.2286799), np.float32(0.24092928), np.float32(0.22221652)]","[np.float32(0.23582166), np.float32(0.22025704)]"
cow_crea_loriaz1900_2018-09-01_06-24-53_r1_crop3.jpg,"[np.float32(0.23929079), np.float32(0.24026808), np.float32(0.23056622)]","[np.float32(0.23063032), np.float32(0.23508883), np.float32(0.23072635)]","[np.float32(0.22134756), np.float32(0.22492054), np.float32(0.21441674)]","[np.float32(0.21417199), np.float32(0.2195274)]"
cow_crea_loriaz1900_2018-09-01_06-25-02_r2_crop2.jpg,"[np.float32(0.25344622), np.float32(0.262926), np.float32(0.25176466)]","[np.float32(0.2607039), np.float32(0.25275266), np.float32(0.25820082)]","[np.float32(0.23933333), np.float32(0.25368133), np.float32(0.23631802)]","[np.float32(0.24668962), np.float32(0.24228673)]"
cow_crea_loriaz1900_2018-09-03_07-54-18_r1_crop0.jpg,"[np.float32(0.22344252), np.float32(0.23510379), np.float32(0.2194111)]","[np.float32(0.23196238), np.float32(0.22423151), np.float32(0.23326164)]","[np.float32(0.22241202), np.float32(0.23292029), np.float32(0.21948248)]","[np.float32(0.22900161), np.float32(0.22771081)]"
cow_crea_loriaz1900_2018-09-03_07-55-35_r2_crop0.jpg,"[np.float32(0.21473774), np.float32(0.21782376), np.float32(0.21347958)]","[np.float32(0.21577904), np.float32(0.21093172), np.float32(0.21003078)]","[np.float32(0.21142279), np.float32(0.21404669), np.float32(0.2078156)]","[np.float32(0.20927995), np.float32(0.21191637)]"
cow_crea_loriaz1900_2018-09-03_09-39-05_r2_crop0.jpg,"[np.float32(0.22588018), np.float32(0.22670537), np.float32(0.22101125)]","[np.float32(0.22510183), np.float32(0.22707896), np.float32(0.22692256)]","[np.float32(0.22597498), np.float32(0.22510245), np.float32(0.22102444)]","[np.float32(0.22268264), np.float32(0.23166327)]"
cow_crea_loriaz1900_2018-09-07_17-56-31_r1_crop0(1).jpg,"[np.float32(0.2367848), np.float32(0.24130514), np.float32(0.22977784)]","[np.float32(0.23623902), np.float32(0.23101456), np.float32(0.23484892)]","[np.float32(0.22616985), np.float32(0.23258513), np.float32(0.22023456)]","[np.float32(0.22611202), np.float32(0.22884056)]"
cow_crea_loriaz1900_2018-09-07_17-58-22_r14_crop0.jpg,"[np.float32(0.22574107), np.float32(0.23387301), np.float32(0.2215812)]","[np.float32(0.23153305), np.float32(0.2375443), np.float32(0.241934)]","[np.float32(0.21501026), np.float32(0.22495289), np.float32(0.20933113)]","[np.float32(0.218369), np.float32(0.2318356)]"
cow_crea_loriaz1900_2018-09-07_17-59-59_r9_crop0.jpg,"[np.float32(0.21701092), np.float32(0.22290967), np.float32(0.21687336)]","[np.float32(0.22176948), np.float32(0.21066341), np.float32(0.21036658)]","[np.float32(0.20191155), np.float32(0.20940322), np.float32(0.2009874)]","[np.float32(0.20353493), np.float32(0.19869268)]"
cow_crea_loriaz1900_2018-09-07_18-00-18_r4_crop1.jpg,"[np.float32(0.19815671), np.float32(0.20454097), np.float32(0.19481052)]","[np.float32(0.20056668), np.float32(0.1985528), np.float32(0.20382564)]","[np.float32(0.18836945), np.float32(0.1976976), np.float32(0.18645874)]","[np.float32(0.19194248), np.float32(0.19239008)]"
cow_crea_loriaz1900_2018-09-16_15-51-13_r3_crop0.jpg,"[np.float32(0.20458253), np.float32(0.20078917), np.float32(0.21156557)]","[np.float32(0.2128021), np.float32(0.20563768), np.float32(0.20397788)]","[np.float32(0.19100185), np.float32(0.1887868), np.float32(0.19861627)]","[np.float32(0.19823638), np.float32(0.19662923)]"
cow_crea_loriaz1900_2018-09-16_15-51-17_r4_crop0.jpg,"[np.float32(0.2073161), np.float32(0.20013115), np.float32(0.21093158)]","[np.float32(0.20494246), np.float32(0.21111533), np.float32(0.20166004)]","[np.float32(0.20020998), np.float32(0.19280103), np.float32(0.2065075)]","[np.float32(0.1981431), np.float32(0.20878023)]"
