Image,Confidence Animal,Confidence Behavior,Confidence Place,Confidence Time
cow_crea_loriaz1900_2018-08-06_17-09-38_r1_crop1.jpg,"[np.float32(0.22235939), np.float32(0.21755217), np.float32(0.20093614)]","[np.float32(0.199274), np.float32(0.22334999), np.float32(0.21769658)]","[np.float32(0.2334767), np.float32(0.23003301), np.float32(0.22300023)]","[np.float32(0.21955082), np.float32(0.2462785)]"
cow_crea_loriaz1900_2018-08-10_18-45-12_r3_crop0.jpg,"[np.float32(0.17900679), np.float32(0.17862996), np.float32(0.17206262)]","[np.float32(0.17088051), np.float32(0.18693988), np.float32(0.18114786)]","[np.float32(0.18808645), np.float32(0.1881582), np.float32(0.17609344)]","[np.float32(0.17487268), np.float32(0.20568305)]"
cow_crea_loriaz1900_2018-08-10_18-45-36_r4_crop0.jpg,"[np.float32(0.20817982), np.float32(0.20085037), np.float32(0.1947967)]","[np.float32(0.18966177), np.float32(0.19801262), np.float32(0.18769765)]","[np.float32(0.20681682), np.float32(0.20334226), np.float32(0.18775187)]","[np.float32(0.18191493), np.float32(0.20599589)]"
cow_crea_loriaz1900_2018-08-10_18-52-51_r2_crop1.jpg,"[np.float32(0.24184945), np.float32(0.23119146), np.float32(0.21932536)]","[np.float32(0.21397242), np.float32(0.22907999), np.float32(0.22063097)]","[np.float32(0.23489189), np.float32(0.22722878), np.float32(0.21112308)]","[np.float32(0.20211712), np.float32(0.22859803)]"
cow_crea_loriaz1900_2018-08-10_18-57-20_r2_crop0.jpg,"[np.float32(0.26359642), np.float32(0.24680577), np.float32(0.24131882)]","[np.float32(0.22988252), np.float32(0.25321785), np.float32(0.23566008)]","[np.float32(0.24140817), np.float32(0.22615331), np.float32(0.21094248)]","[np.float32(0.19950636), np.float32(0.23598804)]"
cow_crea_loriaz1900_2018-08-10_18-58-45_r5_crop0.jpg,"[np.float32(0.21324895), np.float32(0.19668114), np.float32(0.20534036)]","[np.float32(0.19003719), np.float32(0.21773273), np.float32(0.19690779)]","[np.float32(0.20771152), np.float32(0.19409212), np.float32(0.19013353)]","[np.float32(0.17598349), np.float32(0.21654522)]"
cow_crea_loriaz1900_2018-08-10_19-00-12_r1_crop0.jpg,"[np.float32(0.23531207), np.float32(0.23320235), np.float32(0.24312314)]","[np.float32(0.24237184), np.float32(0.23746482), np.float32(0.23592062)]","[np.float32(0.23749304), np.float32(0.23786592), np.float32(0.24850781)]","[np.float32(0.24367675), np.float32(0.25641012)]"
cow_crea_loriaz1900_2018-09-01_06-24-53_r1_crop3.jpg,"[np.float32(0.23312235), np.float32(0.22605091), np.float32(0.22189508)]","[np.float32(0.21843661), np.float32(0.22554585), np.float32(0.22115222)]","[np.float32(0.21461387), np.float32(0.20876148), np.float32(0.20652492)]","[np.float32(0.19930828), np.float32(0.22159871)]"
cow_crea_loriaz1900_2018-09-01_06-25-02_r2_crop2.jpg,"[np.float32(0.2624723), np.float32(0.2588768), np.float32(0.25016606)]","[np.float32(0.24841908), np.float32(0.26257744), np.float32(0.25526094)]","[np.float32(0.27435786), np.float32(0.27257666), np.float32(0.2568902)]","[np.float32(0.2539634), np.float32(0.28773993)]"
cow_crea_loriaz1900_2018-09-03_07-54-18_r1_crop0.jpg,"[np.float32(0.21410258), np.float32(0.21743238), np.float32(0.19485667)]","[np.float32(0.20277196), np.float32(0.21274263), np.float32(0.2174147)]","[np.float32(0.209287), np.float32(0.21427119), np.float32(0.2090681)]","[np.float32(0.21183676), np.float32(0.23265637)]"
cow_crea_loriaz1900_2018-09-03_07-55-35_r2_crop0.jpg,"[np.float32(0.23988664), np.float32(0.23438434), np.float32(0.23343417)]","[np.float32(0.2286917), np.float32(0.24510923), np.float32(0.23792209)]","[np.float32(0.22757763), np.float32(0.22393036), np.float32(0.22265638)]","[np.float32(0.21441206), np.float32(0.2472224)]"
cow_crea_loriaz1900_2018-09-03_09-39-05_r2_crop0.jpg,"[np.float32(0.20625106), np.float32(0.19709611), np.float32(0.19696015)]","[np.float32(0.188672), np.float32(0.21517208), np.float32(0.20046966)]","[np.float32(0.20373493), np.float32(0.19512853), np.float32(0.19018535)]","[np.float32(0.18174358), np.float32(0.22008818)]"
cow_crea_loriaz1900_2018-09-07_17-56-31_r1_crop0(1).jpg,"[np.float32(0.26422483), np.float32(0.26104584), np.float32(0.25078237)]","[np.float32(0.2494227), np.float32(0.25822687), np.float32(0.25353655)]","[np.float32(0.25369203), np.float32(0.25222677), np.float32(0.2371764)]","[np.float32(0.23514387), np.float32(0.25992584)]"
cow_crea_loriaz1900_2018-09-07_17-58-22_r14_crop0.jpg,"[np.float32(0.23149571), np.float32(0.22074977), np.float32(0.22387336)]","[np.float32(0.21431656), np.float32(0.2396325), np.float32(0.226656)]","[np.float32(0.23448555), np.float32(0.2235691), np.float32(0.2347197)]","[np.float32(0.21958007), np.float32(0.25544983)]"
cow_crea_loriaz1900_2018-09-07_17-59-59_r9_crop0.jpg,"[np.float32(0.22203583), np.float32(0.21337733), np.float32(0.21988803)]","[np.float32(0.21516232), np.float32(0.23489916), np.float32(0.22448188)]","[np.float32(0.22295672), np.float32(0.21767697), np.float32(0.21103834)]","[np.float32(0.20170064), np.float32(0.2404152)]"
cow_crea_loriaz1900_2018-09-07_18-00-18_r4_crop1.jpg,"[np.float32(0.24807705), np.float32(0.24070859), np.float32(0.24290514)]","[np.float32(0.23712365), np.float32(0.23779885), np.float32(0.22906817)]","[np.float32(0.23973425), np.float32(0.23442541), np.float32(0.22816291)]","[np.float32(0.2189476), np.float32(0.24159482)]"
cow_crea_loriaz1900_2018-09-16_15-51-13_r3_crop0.jpg,"[np.float32(0.23033156), np.float32(0.22710118), np.float32(0.2240091)]","[np.float32(0.22533621), np.float32(0.24167892), np.float32(0.23980051)]","[np.float32(0.22633655), np.float32(0.22708875), np.float32(0.23068318)]","[np.float32(0.23050903), np.float32(0.26166034)]"
cow_crea_loriaz1900_2018-09-16_15-51-17_r4_crop0.jpg,"[np.float32(0.20010786), np.float32(0.18338053), np.float32(0.21847408)]","[np.float32(0.20041469), np.float32(0.21894607), np.float32(0.1969246)]","[np.float32(0.20159948), np.float32(0.18954235), np.float32(0.21348432)]","[np.float32(0.19308737), np.float32(0.22479704)]"
cow_crea_loriaz1900_2018-09-23_18-43-59_r5_crop0.jpg,"[np.float32(0.17479005), np.float32(0.21466064), np.float32(0.16950436)]","[np.float32(0.20771246), np.float32(0.16388181), np.float32(0.20384596)]","[np.float32(0.19186467), np.float32(0.23247777), np.float32(0.1862563)]","[np.float32(0.21455857), np.float32(0.19566043)]"
cow_crea_loriaz1900_2018-09-24_07-35-36_r4_crop0.jpg,"[np.float32(0.23006499), np.float32(0.2279346), np.float32(0.21794932)]","[np.float32(0.21799941), np.float32(0.23216744), np.float32(0.22816575)]","[np.float32(0.23502328), np.float32(0.23290825), np.float32(0.22445875)]","[np.float32(0.21722052), np.float32(0.25048113)]"
cow_crea_loriaz1900_2018-09-24_07-35-37_r6_crop0.jpg,"[np.float32(0.2154373), np.float32(0.22096533), np.float32(0.20383167)]","[np.float32(0.20936944), np.float32(0.20627272), np.float32(0.21091561)]","[np.float32(0.21826872), np.float32(0.2223112), np.float32(0.20843787)]","[np.float32(0.20758674), np.float32(0.23107344)]"
cow_crea_loriaz1900_2018-09-24_07-37-48_r15_crop0.jpg,"[np.float32(0.23472689), np.float32(0.23909941), np.float32(0.21942517)]","[np.float32(0.22452345), np.float32(0.2207556), np.float32(0.22451541)]","[np.float32(0.2340516), np.float32(0.2378126), np.float32(0.22113785)]","[np.float32(0.22051603), np.float32(0.24118412)]"
cow_crea_loriaz1900_2019-08-09_18-00-33_r10_crop0.jpg,"[np.float32(0.21227585), np.float32(0.20320816), np.float32(0.22470963)]","[np.float32(0.21811396), np.float32(0.24534865), np.float32(0.23092331)]","[np.float32(0.19436604), np.float32(0.19186962), np.float32(0.21018057)]","[np.float32(0.20671986), np.float32(0.24938889)]"
cow_crea_loriaz1900_2019-08-09_18-00-40_r15_crop1.jpg,"[np.float32(0.18371423), np.float32(0.19033474), np.float32(0.17995395)]","[np.float32(0.18508053), np.float32(0.17609496), np.float32(0.18038575)]","[np.float32(0.1910398), np.float32(0.19825818), np.float32(0.19159915)]","[np.float32(0.19699675), np.float32(0.19828272)]"
cow_crea_loriaz1900_2019-08-09_18-54-38_r15_crop2.jpg,"[np.float32(0.18553732), np.float32(0.18466356), np.float32(0.1920965)]","[np.float32(0.19172531), np.float32(0.20315029), np.float32(0.19852151)]","[np.float32(0.19498457), np.float32(0.19543102), np.float32(0.19947074)]","[np.float32(0.19551907), np.float32(0.2261517)]"
