Image,Confidence Animal,Confidence Behavior,Confidence Place,Confidence Time
cow_crea_loriaz1900_2018-08-06_17-09-38_r1_crop1.jpg,"[np.float32(0.2771415), np.float32(0.25888303), np.float32(0.26388836)]","[np.float32(0.25560513), np.float32(0.27046302), np.float32(0.258141)]","[np.float32(0.26639345), np.float32(0.25342318), np.float32(0.25740027)]","[np.float32(0.25457773), np.float32(0.26487988)]"
cow_crea_loriaz1900_2018-08-10_18-45-12_r3_crop0.jpg,"[np.float32(0.2628361), np.float32(0.25278452), np.float32(0.2518125)]","[np.float32(0.2463565), np.float32(0.25560522), np.float32(0.24586365)]","[np.float32(0.25732788), np.float32(0.25273964), np.float32(0.24694026)]","[np.float32(0.24483827), np.float32(0.25459972)]"
cow_crea_loriaz1900_2018-08-10_18-45-36_r4_crop0.jpg,"[np.float32(0.29605508), np.float32(0.3005353), np.float32(0.29374778)]","[np.float32(0.30065173), np.float32(0.2857707), np.float32(0.2876897)]","[np.float32(0.28773636), np.float32(0.29616022), np.float32(0.28531802)]","[np.float32(0.2946684), np.float32(0.2833013)]"
cow_crea_loriaz1900_2018-08-10_18-52-51_r2_crop1.jpg,"[np.float32(0.29133195), np.float32(0.2917088), np.float32(0.27753988)]","[np.float32(0.2829233), np.float32(0.28777152), np.float32(0.28831053)]","[np.float32(0.27884662), np.float32(0.28340143), np.float32(0.2655384)]","[np.float32(0.2748708), np.float32(0.2803682)]"
cow_crea_loriaz1900_2018-08-10_18-57-20_r2_crop0.jpg,"[np.float32(0.28890634), np.float32(0.28228095), np.float32(0.26358622)]","[np.float32(0.2643701), np.float32(0.2785889), np.float32(0.275262)]","[np.float32(0.27060997), np.float32(0.27005464), np.float32(0.2500321)]","[np.float32(0.25442445), np.float32(0.26638177)]"
cow_crea_loriaz1900_2018-08-10_18-58-45_r5_crop0.jpg,"[np.float32(0.2831456), np.float32(0.2660649), np.float32(0.25928068)]","[np.float32(0.24989451), np.float32(0.27042922), np.float32(0.2579453)]","[np.float32(0.27594984), np.float32(0.26365012), np.float32(0.2574955)]","[np.float32(0.2530298), np.float32(0.2668993)]"
cow_crea_loriaz1900_2018-08-10_19-00-12_r1_crop0.jpg,"[np.float32(0.30287638), np.float32(0.29863417), np.float32(0.2908357)]","[np.float32(0.28941685), np.float32(0.29356018), np.float32(0.28820437)]","[np.float32(0.29511198), np.float32(0.29718363), np.float32(0.28502214)]","[np.float32(0.28801), np.float32(0.29303044)]"
cow_crea_loriaz1900_2018-09-01_06-24-53_r1_crop3.jpg,"[np.float32(0.2883508), np.float32(0.27934307), np.float32(0.27250102)]","[np.float32(0.26902932), np.float32(0.2849746), np.float32(0.27894774)]","[np.float32(0.27539873), np.float32(0.27145544), np.float32(0.26242727)]","[np.float32(0.2631676), np.float32(0.27755064)]"
cow_crea_loriaz1900_2018-09-01_06-25-02_r2_crop2.jpg,"[np.float32(0.3149824), np.float32(0.3048464), np.float32(0.30004317)]","[np.float32(0.29394904), np.float32(0.30727762), np.float32(0.30039808)]","[np.float32(0.3081389), np.float32(0.30501613), np.float32(0.29918414)]","[np.float32(0.29920042), np.float32(0.30618054)]"
cow_crea_loriaz1900_2018-09-03_07-54-18_r1_crop0.jpg,"[np.float32(0.27915946), np.float32(0.2870179), np.float32(0.26581353)]","[np.float32(0.27637696), np.float32(0.27780372), np.float32(0.28371656)]","[np.float32(0.2615048), np.float32(0.27464357), np.float32(0.2530763)]","[np.float32(0.26850995), np.float32(0.26667574)]"
